scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S5-F8a,0,6223227,6225380,6225406,6231041,6236602,ok
S5-F8a,1,7059228,7059260,7059289,7060935,7066497,ok
S5-F8a,2,7739228,7739260,7739290,7740935,7746497,ok
S5-F8a,3,8762227,8765380,8765406,8771041,8776602,ok
S5-F8a,4,9639228,9639260,9639289,9640935,9646497,ok
S5-F8a,5,10236228,10236263,10236289,10240937,10246499,ok
S5-F8a,6,10948231,10948263,10948289,10950937,10956499,ok
S5-F8a,7,11588231,11588264,11588289,11590937,11596499,ok
S5-F8a,8,13079228,13079260,13079290,13080937,13086499,ok
S5-F8a,9,14426228,14426263,14426289,14430937,14436499,ok
S5-F8a,10,15574227,15575383,15575410,15581044,15586606,ok
S5-F8a,11,16241228,16245383,16245410,16251044,16256606,ok
S5-F8a,12,17455227,17455382,17455409,17461043,17466605,ok
S5-F8a,13,18367228,18367260,18367291,18370937,18376499,ok
S5-F8a,14,19573227,19575383,19575410,19581044,19586606,ok
S5-F8a,15,20919228,20919260,20919291,20920937,20926499,ok
S5-F8a,16,21546228,21546263,21546290,21550937,21556499,ok
S5-F8a,17,22159228,22159260,22159291,22160937,22166499,ok
S5-F8a,18,23571228,23575383,23575410,23581044,23586606,ok
S5-F8a,19,24653227,24655383,24655410,24661044,24666606,ok
S5-F8a,20,26041228,26045383,26045410,26051044,26056606,ok
S5-F8a,21,26716228,26716263,26716290,26720937,26726499,ok
S5-F8a,22,27699228,27699260,27699291,27700937,27706499,ok
S5-F8a,23,28954227,28955383,28955410,28961044,28966606,ok
S5-F8a,24,30084227,30085383,30085410,30091044,30096606,ok
S5-F8a,25,30706228,30706263,30706291,30710937,30716499,ok
S5-F8a,26,31990234,31995378,31995405,32001039,32006601,ok
S5-F8a,27,32699228,32699260,32699291,32700938,32706499,ok
S5-F8a,28,33641228,33645383,33645410,33651044,33656606,ok
S5-F8a,29,34444227,34445383,34445410,34451044,34456606,ok
S5-F8a,30,35936228,35936263,35936290,35940937,35946499,ok
S5-F8a,31,36470234,36475378,36475405,36481039,36486601,ok
S5-F8a,32,37010234,37015378,37015405,37021040,37026601,ok
S5-F8a,33,37608231,37608264,37608291,37610938,37616499,ok
S5-F8a,34,38860234,38860276,38860303,38860937,38866499,ok
