scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S5-F1a,0,6223227,6225446,6225472,6230995,6236555,ok
S5-F1a,1,7059228,7059260,7059289,7060960,7066520,ok
S5-F1a,2,7739228,7739260,7739289,7740960,7746519,ok
S5-F1a,3,8762227,8765446,8765472,8770995,8776555,ok
S5-F1a,4,9639228,9639260,9639289,9640960,9646519,ok
S5-F1a,5,10236228,10236263,10236289,10240962,10246522,ok
S5-F1a,6,10948228,10948263,10948289,10950962,10956522,ok
S5-F1a,7,11588228,11588263,11588289,11590962,11596522,ok
S5-F1a,8,13079228,13079260,13079289,13080962,13086522,ok
S5-F1a,9,14426228,14426263,14426289,14430962,14436522,ok
S5-F1a,10,15574227,15575448,15575475,15580998,15586557,ok
S5-F1a,11,16241227,16245448,16245474,16250997,16256557,ok
S5-F1a,12,17455227,17455447,17455474,17460997,17466557,ok
S5-F1a,13,18367228,18367260,18367287,18370962,18376522,ok
S5-F1a,14,19573227,19575448,19575475,19580997,19586557,ok
S5-F1a,15,20919228,20919260,20919290,20920962,20926522,ok
S5-F1a,16,21546228,21546263,21546290,21550962,21556522,ok
S5-F1a,17,22159228,22159260,22159290,22160962,22166522,ok
S5-F1a,18,23571227,23575448,23575474,23580997,23586557,ok
S5-F1a,19,24653227,24655448,24655475,24660997,24666557,ok
S5-F1a,20,26041227,26045448,26045475,26050997,26056557,ok
S5-F1a,21,26716228,26716263,26716290,26720962,26726522,ok
S5-F1a,22,27699228,27699260,27699290,27700962,27706522,ok
S5-F1a,23,28954227,28955448,28955475,28960998,28966558,ok
S5-F1a,24,30084227,30085448,30085475,30090998,30096557,ok
S5-F1a,25,30706228,30706263,30706290,30710962,30716522,ok
S5-F1a,26,31990230,31995444,31995471,32000993,32006553,ok
S5-F1a,27,32699228,32699260,32699290,32700962,32706522,ok
S5-F1a,28,33641227,33645448,33645475,33650997,33656557,ok
S5-F1a,29,34444227,34445448,34445475,34450998,34456558,ok
S5-F1a,30,35936228,35936263,35936290,35940962,35946522,ok
S5-F1a,31,36470230,36475444,36475471,36480994,36486553,ok
S5-F1a,32,37010230,37015444,37015471,37020993,37026553,ok
S5-F1a,33,37608228,37608263,37608290,37610962,37616522,ok
S5-F1a,34,38860230,38860275,38860302,38860962,38866522,ok
