scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S5-F5a,0,6223227,6223258,6223284,6223341,6228901,ok
S5-F5a,1,7059228,7059259,7059288,7060960,7066520,ok
S5-F5a,2,7739228,7739259,7739288,7740960,7746519,ok
S5-F5a,3,8762227,8762258,8762284,8762341,8767901,ok
S5-F5a,4,9639228,9639259,9639288,9640960,9646519,ok
S5-F5a,5,10236228,10236262,10236288,10240962,10246522,ok
S5-F5a,6,10948228,10948262,10948288,10950962,10956522,ok
S5-F5a,7,11588228,11588262,11588288,11590962,11596522,ok
S5-F5a,8,13079228,13079259,13079288,13080962,13086522,ok
S5-F5a,9,14426228,14426262,14426288,14430962,14436522,ok
S5-F5a,10,15574227,15574258,15574285,15574342,15579902,ok
S5-F5a,11,16241227,16241258,16241285,16241343,16246903,ok
S5-F5a,12,17455227,17455258,17455285,17455342,17460902,ok
S5-F5a,13,18367228,18367259,18367286,18370962,18376522,ok
S5-F5a,14,19573227,19573258,19573285,19573342,19578902,ok
S5-F5a,15,20919228,20919259,20919289,20920962,20926522,ok
S5-F5a,16,21546228,21546262,21546289,21550962,21556522,ok
S5-F5a,17,22159228,22159259,22159289,22160962,22166522,ok
S5-F5a,18,23571227,23571258,23571285,23571343,23576903,ok
S5-F5a,19,24653227,24653258,24653285,24653342,24658902,ok
S5-F5a,20,26041227,26041258,26041285,26041343,26046903,ok
S5-F5a,21,26716228,26716262,26716289,26720962,26726522,ok
S5-F5a,22,27699228,27699259,27699289,27700962,27706522,ok
S5-F5a,23,28954227,28954258,28954285,28954342,28959902,ok
S5-F5a,24,30084227,30084258,30084285,30084342,30089902,ok
S5-F5a,25,30706228,30706262,30706289,30710962,30716522,ok
S5-F5a,26,31990230,31990264,31990291,31990962,31996522,ok
S5-F5a,27,32699228,32699259,32699289,32700962,32706522,ok
S5-F5a,28,33641227,33641258,33641285,33641343,33646903,ok
S5-F5a,29,34444227,34444258,34444285,34444342,34449902,ok
S5-F5a,30,35936228,35936262,35936289,35940962,35946522,ok
S5-F5a,31,36470230,36470264,36470291,36470962,36476522,ok
S5-F5a,32,37010230,37010264,37010291,37010962,37016522,ok
S5-F5a,33,37608228,37608262,37608289,37610962,37616522,ok
S5-F5a,34,38860230,38860265,38860291,38860962,38866522,ok
