scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S2,0,37386832,37386854,37386878,37386942,37392502,ok
S2,1,38237552,38237574,38237598,38237657,38243217,ok
S2,2,39105396,39105422,39105445,39105795,39111355,ok
S2,3,40212145,40212168,40212191,40212251,40217811,ok
S2,4,40951131,40951153,40951177,40951236,40956796,ok
S2,5,42070475,42070498,42070521,42070581,42076142,ok
S2,6,43217652,43217675,43217698,43217758,43223318,ok
S2,7,44138916,44138942,44138965,44139025,44144585,ok
S2,8,45513570,45513592,45513616,45513675,45519235,ok
S2,9,46248384,46248407,46248430,46248490,46254050,ok
S2,10,47324515,47324538,47324566,47325795,47331355,ok
S2,11,48410388,48410410,48410435,48410495,48416055,ok
S2,12,49372885,49372907,49372936,49372995,49378555,ok
S2,13,50986906,50986932,50986957,50987016,50992576,ok
S2,14,52441511,52441537,52441561,52445795,52451355,ok
S2,15,53171787,53171810,53171835,53171894,53177454,ok
S2,16,54796168,54796191,54796216,54796275,54801835,ok
S2,17,55980634,55980660,55980684,55985795,55991355,ok
S2,18,56950560,56950583,56950608,56950667,56956227,ok
S2,19,57987240,57987262,57987287,57987346,57992906,ok
S2,20,58877245,58877267,58877292,58877351,58882911,ok
S2,21,60185704,60185726,60185751,60185821,60191381,ok
S2,22,61411828,61411851,61411875,61411939,61417499,ok
S2,23,62612951,62612973,62612998,62613057,62618617,ok
S2,24,63936318,63936341,63936365,63936425,63941986,ok
S2,25,64674725,64674747,64674772,64674831,64680391,ok
S2,26,65883408,65883434,65883459,65885795,65891355,ok
S2,27,67016891,67016913,67016942,67017001,67022561,ok
S2,28,68341684,68341710,68341734,68345795,68351355,ok
S2,29,69314265,69314287,69314312,69314371,69319932,ok
S2,30,70578667,70578690,70578714,70578774,70584334,ok
S2,31,71559308,71559330,71559355,71559415,71564975,ok
S2,32,72782287,72782313,72782338,72785795,72791355,ok
S2,33,73743511,73743534,73743558,73745795,73751355,ok
S2,34,74891789,74891812,74891836,74891901,74897461,ok
