scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S4,0,38449200,38449223,38449246,38449306,38454866,ok
S4,1,39638517,39638540,39638563,39638623,39644184,ok
S4,2,40652631,40652653,40652680,40657806,40663366,ok
S4,3,41771305,41772225,41772248,41777891,41783451,ok
S4,4,42841745,42842225,42842248,42847891,42853451,ok
S4,5,44011658,44012225,44012248,44017891,44023451,ok
S4,6,45359198,45359220,45359244,45359303,45364863,ok
S4,7,46311172,46312225,46312248,46317891,46323451,ok
S4,8,47523979,47524002,47524026,47527806,47533366,ok
S4,9,48732859,48732882,48732905,48737806,48743367,ok
S4,10,49920593,49922224,49922249,49927891,49933451,ok
S4,11,51216121,51216150,51216175,51217806,51223366,ok
S4,12,52349132,52349154,52349179,52349238,52354798,ok
S4,13,53524866,53524889,53524916,53527806,53533366,ok
S4,14,54859629,54859651,54859676,54859735,54865295,ok
S4,15,56185337,56185363,56185387,56187807,56193367,ok
S4,16,57223379,57223402,57223426,57227806,57233366,ok
S4,17,58827293,58827316,58827340,58827806,58833366,ok
S4,18,60263045,60263068,60263095,60267806,60273366,ok
S4,19,61893202,61893224,61893249,61897806,61903366,ok
S4,20,63421251,63422225,63422249,63427892,63433452,ok
S4,21,65378191,65378214,65378239,65378298,65383858,ok
S4,22,67010414,67012224,67012249,67017891,67023451,ok
S4,23,68088482,68088504,68088529,68088588,68094149,ok
S4,24,69249356,69249379,69249403,69249463,69255023,ok
S4,25,69959219,69959242,69959266,69959326,69964886,ok
S4,26,70894995,70895020,70895045,70897806,70903366,ok
S4,27,72359619,72359642,72359666,72359726,72365286,ok
S4,28,73475314,73475336,73475364,73477806,73483366,ok
S4,29,74708420,74708442,74708467,74708527,74714087,ok
S4,30,76206873,76206896,76206927,76207806,76213367,ok
S4,31,77620196,77622224,77622249,77627891,77633451,ok
S4,32,78841789,78842225,78842250,78847892,78853452,ok
S4,33,79827420,79827446,79827470,79827806,79833366,ok
S4,34,80986506,80986529,80986554,80987806,80993366,ok
